epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1401.47,2.80917,3.70543,10.2262,0.05621,4.88422,0.68389,0.15005,0.13002,0.0851,0.684,0.15027,0.13003,0.09867,1.2525,1.51997,2.09746,0.03551,0,0.00999498,0.00333166,0.00999498,0.00333166,0.00999498,0.00333166,0.00999498,0.00333166
2,2531,1.48191,2.13252,3.45999,0.02734,2.31349,0.43364,0.269,0.27544,0.1842,0.4342,0.26964,0.27391,0.20629,1.18019,1.22801,1.20085,0.03249,0,0.0199938,0.00666459,0.0199938,0.00666459,0.0199938,0.00666459,0.0199938,0.00666459
3,3557.22,1.37489,1.9716,2.02671,0.02523,1.84591,0.27961,0.43132,0.39213,0.25886,0.28039,0.42594,0.38782,0.26377,0.95753,1.22072,0.98251,0.02604,0,0.0299877,0.00999589,0.0299877,0.00999589,0.0299877,0.00999589,0.0299877,0.00999589
4,4550.5,1.30219,1.88276,1.72165,0.02367,1.75805,0.36353,0.44753,0.38639,0.26773,0.36476,0.44946,0.38763,0.27427,0.86722,1.11024,0.91724,0.02375,0,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,7020.75,1.22296,1.80959,1.59538,0.02204,1.69255,0.41445,0.48802,0.48549,0.34282,0.4146,0.48824,0.48503,0.34204,0.8028,1.09161,0.83039,0.02182,0,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,9740.54,1.1751,1.7618,1.53165,0.02115,1.64377,0.4173,0.5508,0.50444,0.36343,0.41536,0.55207,0.50396,0.36262,0.75838,1.04991,0.77596,0.0203,0,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,12606,1.15164,1.73229,1.47312,0.0206,1.56397,0.55116,0.51593,0.52272,0.37492,0.55116,0.51593,0.52188,0.3808,0.75269,1.06386,0.75553,0.02033,0,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,15333.1,1.12345,1.69167,1.43245,0.02002,1.52947,0.59616,0.54028,0.58688,0.40124,0.5987,0.53621,0.57951,0.40064,0.71003,1.0001,0.70468,0.01892,0,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,18187.7,1.10791,1.67599,1.39339,0.0197,1.4721,0.5965,0.57493,0.59499,0.41488,0.60192,0.57944,0.59855,0.41001,0.70483,0.9878,0.71211,0.01893,0,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,20919,1.08732,1.65236,1.36815,0.01933,1.4543,0.59107,0.65501,0.65961,0.47314,0.63809,0.61565,0.66033,0.46452,0.68013,0.99585,0.6602,0.01799,0,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
